"id","text","date","truthRating","ratingName","author","headline","named_entities_claim","named_entities_article","keywords","source","sourceURL","link","language"
"http://data.gesis.org/claimskg/claim_review/0f532852-2f7a-58b2-814d-ec2da131af9d","'All non-US citizens, illegal or not, will be provided with free health care services.'",2009-07-28,1,"FALSE","Chain email","No free health care for illegal immigrants in the health bill","Kaiser Family Foundation,argues,chain e-mail","","Health Care,Immigration","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2009/jul/30/chain-email/no-free-health-care-illegal-immigrants-health-bill/","English"
"http://data.gesis.org/claimskg/claim_review/4d1834a8-bfc0-59ad-a6ec-1961c9a4ebf6","'There's no rationing in any of these bills.'",2009-08-09,1,"FALSE","Howard Dean","There's rationing in health care now, and there still would be under reform bill","ABC,Alaska,Cato Institute,Chuck Grassley,Congressional Budget Office,Democratic National Committee,George Stephanopoulos,Harvard University,Howard Dean,IMAC,Independent Medicare Advisory Council,John Boehner,John Holahan,Katherine Baicker,Medicare,Obama administration,Republican,Sarah Palin,This Week with George Stephanopoulos,Urban Institute,argues,comparative effectiveness research,libertarian,pre-existing condition,s more,think tank","","Health Care,This Week - ABC News","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2009/aug/25/howard-dean/rationing-health-care-reform/","English"
"http://data.gesis.org/claimskg/claim_review/3f7caba3-7a92-59ae-96b9-00acf5884976","Says that under his tax plan, seniors making less than $50,000 per year won't pay any income taxes.",2008-09-30,3,"TRUE","Barack Obama","Seniors get a special break","Barack Obama,John McCain,Tax Policy Center","","Taxes","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2008/sep/30/barack-obama/seniors-get-a-special-break/","English"
"http://data.gesis.org/claimskg/claim_review/fa68e392-7f63-5876-baf2-d68562556d1b","'I have never said that I don't wear flag pins or refuse to wear flag pins.'",2008-04-16,1,"FALSE","Barack Obama","Obama contradicts previously stated pin philosophy","ABC,Barack Obama,Charles Gibson,George Stephanopoulos,Hillary Clinton,Iraq,Iraq War,John Edwards,John McCain,KCRG-TV,Rudy Giuliani,Senate Veterans Affairs Committee,s more,story here,time. After,to show,war in Iraq,what you're","","Patriotism","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2008/apr/18/barack-obama/obama-contradicts-previously-stated-pin-philosophy/","English"
"http://data.gesis.org/claimskg/claim_review/9a36b329-2051-51c2-86a3-5626576135b7","'Two-thirds of our economy is a consumer economy.'",2008-01-24,3,"TRUE","Mitt Romney","Americans consume a lot","Mitt Romney,gross domestic product","","Economy","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2008/jan/30/mitt-romney/americans-consume-a-lot-/","English"
"http://data.gesis.org/claimskg/claim_review/dfa42a44-08cf-5450-8967-de171981ee58","Gov. Sarah Palin 'got precisely zero support for her call for Alaska's Democratic Senator Mark Begich to resign because Ted Stevens' corruption conviction was overturned.'",2009-04-06,1,"FALSE","Rachel Maddow","Maddow claims Palin got zero support for her idea, only it wasn't hers, and others supported it","Alaska,Alaska Republican Party,Anchorage Daily News,Democrat,Eric Holder,Fairbanks Daily News-Miner,MSNBC,Mark Begich,Rachel Maddow,Republican,Sarah Palin,Ted Stevens,the  New York Times","Alaska,Mark Begich,Sarah Palin,Ted Stevens","Elections,Pundits","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2009/apr/10/rachel-maddow/maddow-claims-palin-got-zero-support-her-idea-only/","English"
"http://data.gesis.org/claimskg/claim_review/6fb1b305-05eb-5bc7-9ad3-c7f98dc44c88","'It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding.'",2007-10-30,1,"FALSE","Hillary Clinton","NIH funding is up under Bush","Hillary Clinton,National Institutes of Health,PolitiFact","National Institutes of Health","Bush Administration","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2007/nov/02/hillary-clinton/nih-funding-is-up-under-bush/","English"
"http://data.gesis.org/claimskg/claim_review/0c84f959-1d18-537f-889f-8547914de355","'Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.'",2008-10-07,3,"TRUE","Barack Obama","Obama's earmark number is correct","Barack Obama,Congressional Research Service,John McCain,Office of Management and Budget,earmarks","","Federal Budget","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2008/oct/07/barack-obama/obamas-earmark-number-is-correct/","English"
"http://data.gesis.org/claimskg/claim_review/07a17b1e-0332-5d04-b9cb-1e01458c0c73","Former business partner Robert Gay says: 'The man who helped save my daughter was Mitt Romney.'",2007-12-19,3,"TRUE","Mitt Romney","Romney did 'help save' teen","Bain Capital,Boston Globe,David Peterson,Mitt Romney,New  York Daily News,New York City,Newsday","Mitt Romney","Candidate Biography","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2007/dec/28/mitt-romney/romney-did-help-save-teen/","English"
"http://data.gesis.org/claimskg/claim_review/8245c18f-ece1-53eb-9624-5b0b1e3f1341","'The president campaigned against this type of legislation.'",2009-02-25,3,"TRUE","John Boehner","Spending bill wasn't candidate Obama's """"type,"""" Boehner points out","John Boehner,John McCain,Mormon cricket,Republican,Taxpayers for Common Sense,White House,bill? Ashdown,earmark,earmarks,omnibus bill,omnibus spending bill","","Federal Budget","politifact","http://www.politifact.com","http://www.politifact.com/truth-o-meter/statements/2009/mar/03/john-boehner/spending-bill-wasnt-candidate-obamas-type-boehner-/","English"
